"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3105","stove/ range hoods- proj 40                  ","1/1/2012",791.8,190.03,"200DB",5,"180","Furniture & Fixtures",2,3,"None","range"
"3106","stove's- project 40                          ","1/1/2012",7839.93,1881.58,"200DB",5,"180","Furniture & Fixtures",2,3,"None","range"
"3107","tennis court screen                          ","1/1/2012",1683.8,719.82,"150DB",15,"180","Furniture & Fixtures",2,13,"None","None"
"3108","vinyl - proj 40                              ","1/1/2012",1183.91,284.14,"200DB",5,"180","Furniture & Fixtures",2,3,"None","vinyl"
"3109","vinyl- proj 40                               ","2/1/2012",751.76,180.42,"200DB",5,"180","Furniture & Fixtures",1.92,3.08,"None","vinyl"
"3110","vinyl- proj 40                               ","1/1/2012",4366.85,1048.04,"200DB",5,"180","Furniture & Fixtures",2,3,"None","vinyl"
"3111","erosion control                              ","12/1/2012",3850,1645.87,"150DB",15,"180","Land Improvements",1.08,13.92,"None","None"
"3112","landscape enhancements                       ","3/1/2012",9597.03,4102.72,"150DB",15,"180","Land Improvements",1.84,13.16,"None","landscaping"
"3113","landscaping cap x                            ","2/1/2012",1065,455.28,"150DB",15,"180","Land Improvements",1.92,13.08,"None","landscaping"
"3114","lift station repairs                         ","1/1/2012",4086,1746.76,"150DB",15,"180","Land Improvements",2,13,"None","repair"
"3115","lump sum pool area improvements              ","12/1/2012",25815,11035.91,"150DB",15,"180","Land Improvements",1.08,13.92,"None","pool"
"3116","lump sum pool area improvements              ","4/1/2012",793.19,339.08,"150DB",15,"180","Land Improvements",1.75,13.25,"None","pool"
"3117","mulching project & timbers                   ","2/1/2012",4376.71,1871.04,"150DB",15,"180","Land Improvements",1.92,13.08,"None","None"
"3118","plumbing-aux                                 ","10/1/2012",2600,1111.5,"150DB",15,"180","Land Improvements",1.25,13.75,"None","plumbing"
"3119","plumbing-aux                                 ","8/1/2012",5676,2426.49,"150DB",15,"180","Land Improvements",1.42,13.58,"None","plumbing"
"3120","relocate century plant                       ","2/1/2012",120,51.3,"150DB",15,"180","Land Improvements",1.92,13.08,"repair below $200","None"
"3121","tree removal                                 ","11/1/2012",1875,801.56,"150DB",15,"180","Land Improvements",1.16,13.84,"None","removal"
"3122","tree removal                                 ","3/1/2012",9000,3847.5,"150DB",15,"180","Land Improvements",1.84,13.16,"None","removal"
"3123","tree removal @ tennis ct                     ","1/1/2012",400,171,"150DB",15,"180","Land Improvements",2,13,"None","removal"
"3124","tree removal- fire unit                      ","2/1/2012",400,171,"150DB",15,"180","Land Improvements",1.92,13.08,"None","removal"
"3125","capital improvements                         ","6/30/2004",558660.94,364822.55,"S/L",27.5,"210","Capital Improvements",9.51,17.99,"None","None"
"3126","210_c_daily labor                            ","3/15/2007",2000,1506.04,"S/L",27.5,"210","Capital Improvements",6.8,20.7,"None","None"
"3128","210_c_landscaping improvements               ","3/15/2007",19.13,9.6,"150DB",15,"210","Capital Improvements",6.8,8.2,"repair below $200","landscaping"
"3129","landscaping                                  ","6/30/2004",3500,568.34,"150DB",15,"210","Capital Improvements",9.51,5.49,"None","landscaping"
"3133","pool improvements                            ","6/30/2004",23671,3843.81,"150DB",15,"210","Capital Improvements",9.51,5.49,"None","pool"
"3134","landscaping improvements                     ","6/30/2004",27436.38,4455.25,"150DB",15,"210","Capital Improvements",9.51,5.49,"None","landscaping"
"3135","roofing                                      ","6/30/2004",9500,1542.66,"150DB",15,"210","Capital Improvements",9.51,5.49,"None","roof"
"3136","hvac                                         ","6/30/2004",18766.42,3047.38,"150DB",15,"210","Capital Improvements",9.51,5.49,"None","None"
"3142","playground modular station                   ","6/30/2004",15029,2440.49,"150DB",15,"210","Capital Improvements",9.51,5.49,"None","None"
"3147","exercise equipment                           ","6/30/2004",4080,557.92,"150DB",15,"210","Equipment",9.51,5.49,"None","None"
"3153","building                                     ","6/30/2004",2506299,1636689.15,"S/L",27.5,"210","Building",9.51,17.99,"None","None"
"3154","hvac                                         ","6/30/2005",165736.49,114257.74,"S/L",27.5,"210","Capital Improvements",8.51,18.99,"None","None"
"3155","capital improvements                         ","6/30/2005",1085954,748650.08,"S/L",27.5,"210","Capital Improvements",8.51,18.99,"None","None"
"3157","landscaping improvements                     ","6/30/2005",217483,83474,"150DB",15,"210","Capital Improvements",8.51,6.49,"None","landscaping"
"3163","signage                                      ","6/30/2005",1075,741.11,"S/L",27.5,"210","Capital Improvements",8.51,18.99,"None","signs"
"3165","office improvement                           ","6/30/2005",60224,41518.09,"S/L",27.5,"210","Capital Improvements",8.51,18.99,"None","office"
"3168","210_c_interior doors                         ","3/15/2007",304.01,228.96,"S/L",27.5,"210","Capital Improvements",6.8,20.7,"None","doors"
"3169","210_c_interior painting                      ","3/15/2007",50.12,37.76,"S/L",27.5,"210","Capital Improvements",6.8,20.7,"repair below $200","painting"
"3170","210_c_interior painting                      ","4/15/2007",375.75,284.11,"S/L",27.5,"210","Capital Improvements",6.72,20.78,"None","painting"
"3171","210_e_air conditioning & heat                ","3/15/2007",538.28,405.36,"S/L",27.5,"210","Equipment",6.8,20.7,"None","HVAC"
"3172","210_e_air conditioning & heat                ","5/15/2007",1120.23,850.33,"S/L",27.5,"210","Equipment",6.64,20.86,"None","HVAC"
"3174","210_air handler                              ","7/11/2007",866.83,663.26,"S/L",27.5,"210","Equipment",6.48,21.02,"None","HAVC"
"3176","210_condensor                                ","8/14/2007",587.43,451.26,"S/L",27.5,"210","Equipment",6.39,21.11,"None","condenser"
"3177","210_compressor                               ","9/28/2007",450.58,347.52,"S/L",27.5,"210","Equipment",6.26,21.24,"None","compressor"
"3179","210_condensor                                ","10/17/2007",587.43,454.82,"S/L",27.5,"210","Equipment",6.21,21.29,"None","condenser"
"3181","210_heat pump unit                           ","12/6/2007",900.51,702.65,"S/L",27.5,"210","Equipment",6.07,21.43,"None","None"
"3199","210_supervision 6/08                         ","6/30/2008",4748.11,3791.29,"S/L",27.5,"210","Capital Improvements",5.51,21.99,"None","supervision"
"3200","210_supervision 9/08                         ","9/1/2008",340.8,275.24,"S/L",27.5,"210","Capital Improvements",5.33,22.17,"None","supervision"
"3201","210_supervison                               ","7/31/2008",2708.2,2170.66,"S/L",27.5,"210","Capital Improvements",5.42,22.08,"None","supervision"
"3202","210_supervison                               ","11/28/2008",356.4,289.98,"S/L",27.5,"210","Capital Improvements",5.09,22.41,"None","supervision"
"3203","210_supervison                               ","12/31/2008",1079.8,881.81,"S/L",27.5,"210","Capital Improvements",5,22.5,"None","supervision"
"3204","210_supervison 8/08                          ","8/1/2008",1228,988,"S/L",27.5,"210","Capital Improvements",5.42,22.08,"None","supervision"
"3205","210_supervisory                              ","1/31/2008",459.96,360.28,"S/L",27.5,"210","Capital Improvements",5.92,21.58,"None","supervision"
"3206","210_supervisory                              ","3/31/2008",3260.55,2573.84,"S/L",27.5,"210","Capital Improvements",5.76,21.74,"None","supervision"
"3207","210_tree removal                             ","9/9/2008",3000,841.45,"150DB",15,"210","Capital Improvements",5.31,9.69,"None","removal"
"3210","210_water heater                             ","1/30/2008",223.6,175.16,"S/L",27.5,"210","Equipment",5.92,21.58,"None","water heater"
"3211","210_water heater                             ","3/12/2008",235.38,185.8,"S/L",27.5,"210","Equipment",5.81,21.69,"None","water heater"
"3212","210_water heater                             ","8/1/2008",259.8,209.01,"S/L",27.5,"210","Equipment",5.42,22.08,"None","water heater"
"3213","210_water heater                             ","9/2/2008",259.81,209.8,"S/L",27.5,"210","Equipment",5.33,22.17,"None","water heater"
"3214","210_water heater                             ","10/6/2008",259.81,210.59,"S/L",27.5,"210","Equipment",5.24,22.26,"None","water heater"
"3219","210_115-204 & 105-2                          ","1/18/2008",427.72,335.7,"S/L",27.5,"210","Furniture & Fixtures",5.96,21.54,"None","None"
"3220","210_115-204 & 105-2                          ","1/18/2008",275.92,216.56,"S/L",27.5,"210","Furniture & Fixtures",5.96,21.54,"None","None"
"3221","1.5-2 ton air handler                        ","4/17/2006",738,531.11,"S/L",27.5,"210","Equipment",7.71,19.79,"None","HAVC"
"3223","pool putty patch                             ","5/10/2006",16.96,7.39,"150DB",15,"210","Capital Improvements",7.65,7.35,"repair below $200","pool"
"3228","copeland compressor                          ","9/5/2006",242.62,178.31,"S/L",27.5,"210","Equipment",7.33,20.17,"None","compressor"
"3231","2-2.5 ton seer unit                          ","4/26/2006",2631.76,1894.07,"S/L",27.5,"210","Equipment",7.69,19.81,"None","HVAC"
"3234","concrete wall @ storm creek                  ","11/25/2006",9800,4557.1,"150DB",15,"210","Capital Improvements",7.1,7.9,"None","None"
"3240","216 vinyl - 12 pieces                        ","11/20/2006",196.61,145.67,"S/L",27.5,"210","Capital Improvements",7.12,20.38,"repair below $200","vinyl"
"3243","new paint - unit 101-101                     ","11/16/2006",140.72,104.24,"S/L",27.5,"210","Capital Improvements",7.13,20.37,"repair below $200","painting"
"3247","install laundry center-112-103               ","12/1/2006",1250,929.96,"S/L",27.5,"210","Capital Improvements",7.09,20.41,"None","None"
"3248","supervision                                  ","12/1/2006",1269.74,944.63,"S/L",27.5,"210","Capital Improvements",7.09,20.41,"None","supervision"
"3249","210    basic elect matl & methods            ","2/15/2006",703.87,502.27,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","None"
"3250","210    basic elect matl & methods            ","5/15/2006",202.19,146.14,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","None"
"3251","210    basic elect matl & methods            ","8/15/2006",791.43,579.18,"S/L",27.5,"210","Capital Improvements",7.38,20.12,"None","None"
"3252","210    basic elect matl & methods            ","11/15/2006",130.55,96.71,"S/L",27.5,"210","Capital Improvements",7.13,20.37,"repair below $200","None"
"3253","210    bifold/bypass doors                   ","2/15/2006",159,113.48,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"repair below $200","doors"
"3254","210    cabinets & vanities                   ","2/15/2006",1526.87,1089.65,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","cabinets"
"3255","210    cabinets & vanities                   ","5/15/2006",1426.3,1030.79,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","cabinets"
"3256","210    cabinets & vanities                   ","8/15/2006",1837.36,1344.64,"S/L",27.5,"210","Capital Improvements",7.38,20.12,"None","cabinets"
"3257","210    cabinets & vanities                   ","11/15/2006",816.39,604.85,"S/L",27.5,"210","Capital Improvements",7.13,20.37,"None","cabinets"
"3262","210    cleaning & grubbing                   ","2/15/2006",120,50.48,"150DB",15,"210","Capital Improvements",7.88,7.12,"repair below $200","cleaning grubbing"
"3263","210    cleaning & grubbing                   ","5/15/2006",1450,631.45,"150DB",15,"210","Capital Improvements",7.64,7.36,"None","cleaning grubbing"
"3264","210    cleaning & grubbing                   ","8/15/2006",1595,718.15,"150DB",15,"210","Capital Improvements",7.38,7.62,"None","cleaning grubbing"
"3265","210    concrete sidewalks                    ","5/15/2006",2122.47,924.31,"150DB",15,"210","Capital Improvements",7.64,7.36,"None","sidewalks"
"3266","210    concrete sidewalks                    ","11/15/2006",6400,2976.07,"150DB",15,"210","Capital Improvements",7.13,7.87,"None","sidewalks"
"3267","210    countertops                           ","2/15/2006",1633.87,1166.01,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","countertops"
"3268","210    countertops                           ","5/15/2006",987.35,713.61,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","countertops"
"3269","210    curb & gutter                         ","2/15/2006",2500,1051.82,"150DB",15,"210","Capital Improvements",7.88,7.12,"None","curb"
"3270","210    daily labor                           ","2/15/2006",41711,29766.51,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","None"
"3271","210    daily labor                           ","5/15/2006",39759,28734.93,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","None"
"3272","210    daily labor                           ","8/15/2006",17804,13029.28,"S/L",27.5,"210","Capital Improvements",7.38,20.12,"None","None"
"3273","210    daily labor                           ","11/15/2006",21572,15982.87,"S/L",27.5,"210","Capital Improvements",7.13,20.37,"None","None"
"3278","210    exterior doors                        ","2/15/2006",710.2,506.79,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","doors"
"3279","210    exterior doors                        ","5/15/2006",137.78,99.58,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"repair below $200","doors"
"3280","210    exterior doors                        ","8/15/2006",550.77,403.05,"S/L",27.5,"210","Capital Improvements",7.38,20.12,"None","doors"
"3281","210    field supervision                     ","2/15/2006",472.8,337.43,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","supervision"
"3282","210    field supervision                     ","5/15/2006",2096.66,1515.33,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","supervision"
"3283","210    field supervision                     ","8/15/2006",4609.74,3373.47,"S/L",27.5,"210","Capital Improvements",7.38,20.12,"None","supervision"
"3284","210    finish carpentry                      ","2/15/2006",1129.66,806.16,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","carpet"
